country, type, prefix, voice price, sms price
South Africa,South Africa,2734501,0.09,0.05
South Africa,Olo,27349400,0.09,0.05
South Africa,Olo,2735001,0.12,0.05
South Africa,South Africa,27350650,0.09,0.05
South Africa,South Africa,27352850,0.09,0.05
South Africa,Olo,27359400,0.09,0.05
South Africa,Olo,27369400,0.09,0.05
South Africa,Olo,2739001,0.12,0.05
South Africa,Olo,2739500,0.12,0.05
South Africa,Olo,2739700,0.09,0.05
South Africa,Olo,27397000,0.12,0.05
South Africa,Olo,27397001,0.12,0.05
South Africa,Olo,27397002,0.12,0.05
South Africa,Olo,27397003,0.12,0.05
South Africa,South Africa,27399400,0.09,0.05
South Africa,Olo,2740555,0.12,0.05
South Africa,Olo,2741000,0.1,0.05
South Africa,Olo,2741001,0.1,0.05
South Africa,Olo,2741004,0.1,0.05
South Africa,Olo,27410070,0.1,0.05
South Africa,Olo,27410100,0.09,0.05
South Africa,South Africa,27410200,0.09,0.05
South Africa,South Africa,2741050,0.09,0.05
South Africa,South Africa,27410650,0.09,0.05
South Africa,South Africa,27410910,0.09,0.05
South Africa,South Africa,27411010,0.09,0.05
South Africa,South Africa,27411011,0.09,0.05
South Africa,South Africa,27411012,0.09,0.05
South Africa,South Africa,27411013,0.09,0.05
South Africa,South Africa,27411014,0.09,0.05
South Africa,Olo,27411100,0.12,0.05
South Africa,South Africa,27411420,0.09,0.05
South Africa,Olo,27411800,0.12,0.05
South Africa,South Africa,27411801,0.09,0.05
South Africa,South Africa,27411802,0.09,0.05
South Africa,South Africa,27411803,0.09,0.05
South Africa,South Africa,27411804,0.09,0.05
South Africa,South Africa,27412600,0.09,0.05
South Africa,Olo,27414022,0.088,0.05
South Africa,Olo,274140228,0.12,0.05
South Africa,Olo,2741450,0.12,0.05
South Africa,Olo,2741492,0.09,0.05
South Africa,Olo,2742004,0.12,0.05
South Africa,South Africa,27420650,0.09,0.05
South Africa,South Africa,27422850,0.09,0.05
South Africa,Olo,2742940,0.09,0.05
South Africa,Olo,27430010,0.1,0.05
South Africa,Olo,27430011,0.1,0.05
South Africa,Olo,2743004,0.1,0.05
South Africa,Olo,27430070,0.1,0.05
South Africa,South Africa,27430650,0.09,0.05
South Africa,South Africa,27431010,0.09,0.05
South Africa,Olo,27431100,0.12,0.05
South Africa,South Africa,27432850,0.09,0.05
South Africa,Olo,2743555,0.12,0.05
South Africa,Olo,274370303,0.12,0.05
South Africa,Olo,2744001,0.12,0.05
South Africa,Olo,2744004,0.12,0.05
South Africa,Olo,27440100,0.09,0.05
South Africa,South Africa,27440650,0.09,0.05
South Africa,Olo,27440720,0.088,0.05
South Africa,South Africa,27440910,0.09,0.05
South Africa,Olo,27441100,0.12,0.05
South Africa,Olo,27442200,0.12,0.05
South Africa,South Africa,27442201,0.09,0.05
South Africa,South Africa,27442202,0.09,0.05
South Africa,South Africa,27442203,0.09,0.05
South Africa,South Africa,27442204,0.09,0.05
South Africa,South Africa,27442850,0.09,0.05
South Africa,Olo,2745001,0.12,0.05
South Africa,South Africa,27452850,0.09,0.05
South Africa,Olo,2745555,0.12,0.05
South Africa,Olo,2746001,0.12,0.05
South Africa,Olo,2746555,0.12,0.05
South Africa,South Africa,27470650,0.09,0.05
South Africa,Olo,27471100,0.12,0.05
South Africa,Olo,2747554,0.12,0.05
South Africa,Olo,2747700,0.12,0.05
South Africa,Olo,2747701,0.088,0.05
South Africa,South Africa,2747710,0.09,0.05
South Africa,Olo,2748001,0.12,0.05
South Africa,Olo,2751000,0.1,0.05
South Africa,Olo,2751001,0.1,0.05
South Africa,Olo,2751004,0.1,0.05
South Africa,Olo,27510070,0.1,0.05
South Africa,Olo,27510100,0.09,0.05
South Africa,Olo,2751011,0.1,0.05
South Africa,Olo,2751050,0.1,0.05
South Africa,South Africa,27510650,0.09,0.05
South Africa,South Africa,27510910,0.09,0.05
South Africa,South Africa,27511010,0.09,0.05
South Africa,South Africa,27511011,0.09,0.05
South Africa,South Africa,27511012,0.09,0.05
South Africa,South Africa,27511013,0.09,0.05
South Africa,South Africa,27511014,0.09,0.05
South Africa,Olo,27511100,0.12,0.05
South Africa,South Africa,27511420,0.09,0.05
South Africa,South Africa,27512300,0.09,0.05
South Africa,Olo,27512500,0.12,0.05
South Africa,South Africa,27512501,0.09,0.05
South Africa,South Africa,27512502,0.09,0.05
South Africa,South Africa,27512503,0.09,0.05
South Africa,South Africa,27512504,0.09,0.05
South Africa,South Africa,27512850,0.09,0.05
South Africa,South Africa,27513500,0.09,0.05
South Africa,Olo,2751492,0.09,0.05
South Africa,South Africa,275150566,0.09,0.05
South Africa,South Africa,275150567,0.09,0.05
South Africa,Olo,27517440,0.12,0.05
South Africa,Olo,2753001,0.12,0.05
South Africa,Olo,2753004,0.12,0.05
South Africa,South Africa,27530650,0.09,0.05
South Africa,Olo,27531100,0.12,0.05
South Africa,South Africa,27532850,0.09,0.05
South Africa,South Africa,27540650,0.09,0.05
South Africa,Olo,27541100,0.12,0.05
South Africa,South Africa,27542850,0.09,0.05
South Africa,Olo,2757001,0.1,0.05
South Africa,Olo,27570070,0.1,0.05
South Africa,South Africa,27570650,0.09,0.05
South Africa,Olo,27571100,0.12,0.05
South Africa,South Africa,27572850,0.09,0.05
South Africa,Olo,2758001,0.12,0.05
South Africa,Olo,27581100,0.12,0.05
South Africa,MTN Mobile,27603,0.31,0.05
South Africa,MTN Mobile,27604,0.31,0.05
South Africa,MTN Mobile,27605,0.31,0.05
South Africa,Vodacom Mobile,27606,0.11,0.05
South Africa,Vodacom Mobile,27607,0.11,0.05
South Africa,Vodacom Mobile,27608,0.11,0.05
South Africa,Vodacom Mobile,27609,0.11,0.05
South Africa,Cellc Mobile,27610,0.11,0.05
South Africa,Cellc Mobile,27611,0.11,0.05
South Africa,Cellc Mobile,27612,0.11,0.05
South Africa,Cellc Mobile,27613,0.11,0.05
South Africa,Telkom Mobile,27614,0.11,0.05
South Africa,MTN Mobile,27710,0.11,0.05
South Africa,Vodacom Mobile,27711,0.11,0.05
South Africa,Vodacom Mobile,27712,0.11,0.05
South Africa,Vodacom Mobile,27713,0.11,0.05
South Africa,Vodacom Mobile,27714,0.11,0.05
South Africa,Vodacom Mobile,27715,0.11,0.05
South Africa,Vodacom Mobile,27716,0.09,0.05
South Africa,MTN Mobile,27717,0.11,0.05
South Africa,MTN Mobile,27718,0.11,0.05
South Africa,MTN Mobile,27719,0.11,0.05
South Africa,Vodacom Mobile,2772,0.11,0.05
South Africa,MTN Mobile,2773,0.11,0.05
South Africa,Cellc Mobile,2774,0.12,0.05
South Africa,Vodacom Mobile,2776,0.11,0.05
South Africa,MTN Mobile,2778,0.11,0.05
South Africa,Vodacom Mobile,2779,0.11,0.05
South Africa,South Africa,2781,0.09,0.05
South Africa,MTN Mobile,27810,0.31,0.05
South Africa,South Africa,27819,0.08,0.05
South Africa,Vodacom Mobile,2782,0.11,0.05
South Africa,MTN Mobile,2783,0.11,0.05
South Africa,Cellc Mobile,2784,0.12,0.05
South Africa,Olo,2785000,0.1,0.05
South Africa,South Africa,278505,0.1,0.05
South Africa,South Africa,2785056,0.08,0.05
South Africa,South Africa,2785057,0.08,0.05
South Africa,South Africa,2785058,0.08,0.05
South Africa,South Africa,2785059,0.08,0.05
South Africa,Olo,2785100,0.1,0.05
South Africa,Olo,2785101,0.1,0.05
South Africa,Olo,2785150,0.1,0.05
South Africa,Olo,2785151,0.1,0.05
South Africa,Olo,2785152,0.1,0.05
South Africa,Olo,2785153,0.1,0.05
South Africa,Olo,2785250,0.1,0.05
South Africa,Olo,2785251,0.1,0.05
South Africa,Olo,2785252,0.1,0.05
South Africa,Olo,2785300,0.1,0.05
South Africa,Olo,2785301,0.1,0.05
South Africa,Olo,2785400,0.1,0.05
South Africa,Olo,2785401,0.1,0.05
St. Helena (Including Tristan Da Cunha),St. Helena (Including Tristan Da Cunha),290,1.88,
St. Helena (Including Tristan Da Cunha),St. Helena (Including Tristan Da Cunha),2908,1.86,
Eritrea,Eritrea,291,0.42,
Aruba,Aruba,297,0.15,0.03
Aruba,Mobile,29756,0.35,0.03
Aruba,Mobile,29759,0.35,0.03
Aruba,Mobile,297600,0.22,0.03
Aruba,Mobile,297622,0.22,0.03
Aruba,Digicel Mobile,29763,0.22,0.03
Aruba,Digicel Mobile,29764,0.22,0.03
Aruba,Mobile,29766,0.22,0.03
Aruba,Mobile,29769,0.22,0.03
Aruba,Digicel Mobile,29773,0.35,0.03
Aruba,Digicel Mobile,29774,0.35,0.03
Aruba,Mobile,29796,0.16,0.03
Aruba,Mobile,29799,0.23,0.03
Faroe Islands,Faroe Islands,298,0.13,0.02
Faroe Islands,Mobile,2982,0.14,0.02
Faroe Islands,Mobile,29821,0.16,0.02
Faroe Islands,Mobile,29822,0.16,0.02
Faroe Islands,Mobile,29823,0.16,0.02
Faroe Islands,Mobile,29824,0.16,0.02
Faroe Islands,Mobile,29825,0.16,0.02
Faroe Islands,Mobile,29826,0.16,0.02
Faroe Islands,Mobile,29827,0.16,0.02
Faroe Islands,Mobile,29828,0.16,0.02
Faroe Islands,Mobile,29829,0.16,0.02
Faroe Islands,Mobile,2985,0.16,0.02
Faroe Islands,Mobile,2987,0.16,0.02
Faroe Islands,Faroe Islands,2989,0.15,0.02
Faroe Islands,Faroe Islands,29890,0.13,0.02
Greenland,Greenland,299,0.72,0.02
Greenland,Greenland,2992,0.87,0.02
Greenland,Greenland,2994,0.87,0.02
Greenland,Greenland,29940,0.72,0.02
Greenland,Greenland,29941,0.72,0.02
Greenland,Mobile,2995,0.87,0.02
Greece,Greece,30,0.05,0.07
Greece,Vodafone Mobile,30694,0.06,0.07
Greece,Cosmote Mobile,30697,0.06,0.07
Greece,Cosmote Mobile,30698,0.06,0.07
Netherlands,Netherlands,31,0.05,0.075
Netherlands,Mobile,316,0.13,0.075
Netherlands,Mobile,3160,0.12,0.075
Netherlands,KPN-M Mobile,31610,0.08,0.075
Netherlands,Vodafone Mobile,31611,0.08,0.075
Netherlands,KPN-M Mobile,31612,0.08,0.075
Netherlands,KPN-M Mobile,31613,0.08,0.075
Netherlands,T-Mobile,31614,0.09,0.075
Netherlands,Vodafone Mobile,31615,0.08,0.075
Netherlands,Telfort Mobile,31616,0.1,0.075
Netherlands,Telfort Mobile,31617,0.1,0.075
Netherlands,Orange Mobile,31618,0.09,0.075
Netherlands,Telfort Mobile,31619,0.1,0.075
Netherlands,KPN-M Mobile,31620,0.08,0.075
Netherlands,Vodafone Mobile,31621,0.08,0.075
Netherlands,KPN-M Mobile,31622,0.08,0.075
Netherlands,KPN-M Mobile,31623,0.08,0.075
Netherlands,T-Mobile,31624,0.09,0.075
Netherlands,Vodafone Mobile,31625,0.08,0.075
Netherlands,Telfort Mobile,31626,0.1,0.075
Netherlands,Vodafone Mobile,31627,0.08,0.075
Netherlands,Orange Mobile,31628,0.09,0.075
Netherlands,Vodafone Mobile,31629,0.08,0.075
Netherlands,KPN-M Mobile,31630,0.08,0.075
Netherlands,Vodafone Mobile,31631,0.08,0.075
Netherlands,Mobile,31632,0.12,0.075
Netherlands,Mobile,316320,0.11,0.075
Netherlands,Mobile,316321,0.11,0.075
Netherlands,Mobile,316322,0.11,0.075
Netherlands,Telfort Mobile,31633,0.1,0.075
Netherlands,T-Mobile,31634,0.09,0.075
Netherlands,Mobile,31635,0.12,0.075
Netherlands,Tele2 Mobile,31636,0.06,0.075
Netherlands,Tele2 Mobile,316360,0.1,0.075
Netherlands,Tele2 Mobile,316361,0.1,0.075
Netherlands,Tele2 Mobile,316362,0.1,0.075
Netherlands,Tele2 Mobile,316363,0.1,0.075
Netherlands,Tele2 Mobile,316364,0.1,0.075
Netherlands,Tele2 Mobile,316365,0.1,0.075
Netherlands,Tele2 Mobile,316366,0.12,0.075
Netherlands,Tele2 Mobile,316367,0.12,0.075
Netherlands,Tele2 Mobile,316368,0.12,0.075
Netherlands,Tele2 Mobile,316369,0.12,0.075
Netherlands,Vodafone Mobile,31637,0.09,0.075
Netherlands,Orange Mobile,31638,0.09,0.075
Netherlands,Orange Mobile,31639,0.09,0.075
Netherlands,Tele2 Mobile,31640,0.1,0.075
Netherlands,T-Mobile,31641,0.09,0.075
Netherlands,T-Mobile,31642,0.09,0.075
Netherlands,T-Mobile,31643,0.09,0.075
Netherlands,Telfort Mobile,31644,0.1,0.075
Netherlands,Telfort Mobile,31645,0.1,0.075
Netherlands,Vodafone Mobile,31646,0.08,0.075
Netherlands,Telfort Mobile,31647,0.1,0.075
Netherlands,Orange Mobile,31648,0.09,0.075
Netherlands,Telfort Mobile,31649,0.1,0.075
Netherlands,Vodafone Mobile,31650,0.08,0.075
Netherlands,KPN-M Mobile,31651,0.08,0.075
